카테고리,ID,매치,질의,기대 URL,비고,사용 여부,노트
채용 관리,CM-01,기존 채용 불러오기,이전에 했던 채용을 복사해서 새로 만들고 싶어,,,기존
채용 관리,CM-01-1,기존 채용 불러오기,작년 신입 채용 그대로 다시 쓰고 싶어,,,확장-작업목적
채용 관리,CM-01-2,기존 채용 불러오기,예전 공고 복사할 수 있어?,,,확장-탐색
채용 관리,CM-01-3,기존 채용 불러오기,이전 채용 템플릿 가져올게,,,확장-직접실행
채용 관리,CM-01-4,기존 채용 불러오기,과거 채용 복제하는 거 어디서 해?,,,확장-기능찾기
채용 관리,CM-02,기존 채용 불러오기,기존 채용 불러와서 복제할래,,,기존
채용 관리,CM-02-1,기존 채용 불러오기,전에 만든 채용 가져와서 수정하고 싶어,,,확장-작업목적
채용 관리,CM-02-2,기존 채용 불러오기,채용 복사 기능 어디 있어?,,,확장-기능찾기
채용 관리,CM-02-3,기존 채용 불러오기,저장된 채용 불러오기,,,확장-직접실행
채용 관리,CM-03,설정중 채용 수정,작성하던 채용 이어서 수정하고 싶어,,,기존
채용 관리,CM-03-1,설정중 채용 수정,저장해둔 채용 계속 작성하기,,,확장-작업목적
채용 관리,CM-03-2,설정중 채용 수정,임시보관함 어디 있어?,,,확장-기능찾기
채용 관리,CM-03-3,설정중 채용 수정,작업중인 채용 불러올래,,,확장-직접실행
채용 관리,CM-03-4,설정중 채용 수정,채용 설정 다 끝내지 못했는데 어디 갔지?,,,확장-문제상황
채용 관리,CM-04,설정중 채용 수정,임시저장된 채용 편집하러 가기,,,기존
채용 관리,CM-04-1,설정중 채용 수정,작성중인 채용 수정할래,,,확장-직접실행
채용 관리,CM-04-2,설정중 채용 수정,저장만 해둔 채용 어디서 수정해?,,,확장-기능찾기
채용 관리,CM-04-3,설정중 채용 수정,임시저장 채용 이어서 작업하고 싶어,,,확장-작업목적
채용 관리,CM-14,채용 현황 확인,채용 현황 대시보드 보여줘,,,기존
채용 관리,CM-14-1,채용 현황 확인,채용 진행 상황 보고 싶어,,,확장-작업목적
채용 관리,CM-14-2,채용 현황 확인,대시보드 어디서 봐?,,,확장-기능찾기
채용 관리,CM-14-3,채용 현황 확인,지금 몇 명 지원했는지 확인할래,,,확장-상황구체화
채용 관리,CM-14-4,채용 현황 확인,채용 통계 보여줘,,,확장-직접실행
채용 관리,CM-15,채용 현황 확인,진행중인 채용의 현황을 확인하고 싶어,,,기존
채용 관리,CM-15-1,채용 현황 확인,채용 상태 체크하고 싶어,,,확장-작업목적
채용 관리,CM-15-2,채용 현황 확인,현재 진행 상황 보기,,,확장-직접실행
채용 관리,CM-15-3,채용 현황 확인,각 전형별로 몇 명 있는지 확인할래,,,확장-상황구체화
메시지 관리,MSG-01,메시지 현황,안내 및 발표 메시지를 보고 싶어,,,기존
메시지 관리,MSG-01-1,메시지 현황,발송한 메시지 목록 보여줘,,,확장-직접실행
메시지 관리,MSG-01-2,메시지 현황,누구한테 메일 보냈더라?,,,확장-확인
메시지 관리,MSG-01-3,메시지 현황,메시지 전송 기록 확인할게,,,확장-작업목적
메시지 관리,MSG-01-4,메시지 현황,합격자한테 메일 나갔는지 확인하고 싶어,,,확장-상황구체화
메시지 관리,MSG-02,메시지 현황,보낸 이메일 확인할래,,,기존
메시지 관리,MSG-02-1,메시지 현황,이메일 발송 내역 보기,,,확장-직접실행
메시지 관리,MSG-02-2,메시지 현황,메일 전송 이력 어디서 봐?,,,확장-기능찾기
